House Number,Street,First Name,Surname,Age,Relationship to Head of House,Marital Status,Gender,Occupation,Infirmity,Religion
1,Renaissance Lane,Grace,Johnston,29,Head,Single,Female,Visual merchandiser,None,Methodist
1,Renaissance Lane,Brett,Sheppard,31,Partner,Single,Male,Biomedical engineer,None,Methodist
1,Renaissance Lane,Mark,Johnston,6,Son,NA,Male,Student,None,NA
1,Renaissance Lane,Teresa,Johnston,3,Daughter,NA,Female,Child,None,NA
2,Renaissance Lane,Helen,Smith,81,Head,Married,Female,Retired Primary school teacher,None,Christian
2,Renaissance Lane,William,Smith,83,Husband,Married,M,Retired Tree surgeon,None,None
,Renaissance Lane,Hazel,Richards,54,Head,Married,Female,Housing manager/officer,None,None
3,Renaissance Lane,Kenneth,Richards,56,Husband,Married,Male,Illustrator,None,None
4,Renaissance Lane,Beverley,Jackson,71,Head,Widowed,Female,Retired Farm manager,None,Christian
5,Renaissance Lane,Tony,Gibson,20,Head,Single,Male,University Student,None,None
5,Renaissance Lane,Megan,Cooper,19,Partner,Single,Female,University Student,None,None
6,Renaissance Lane,Amber,Butler,46,Head,Married,Female,Art gallery manager,None,None
6,Renaissance Lane,Craig,Butler,44,Husband,Married,Male,Seismic interpreter,None,None
6,Renaissance Lane,Amber,Butler,18,Daughter,Single,Female,Student,None,None
6,Renaissance Lane,Karl,Butler,14,Son,NA,Male,Student,None,NA
7,Renaissance Lane,Sandra,Kent,62,Head,Married,Female,Sales executive,None,None
7,Renaissance Lane,Norman,Kent,62,Husband,Married,Male,Chartered accountant,None,None
7,Renaissance Lane,Clare,Kent,31,Daughter,Divorced,Female,Social worker,None,None
8,Renaissance Lane,Jodie,Fletcher,70,Head,Widowed,Female,Unemployed,None,None
9,Renaissance Lane,Irene,Patel,51,Head,Married,Female,"Psychologist, counselling",None,None
9,Renaissance Lane,Abdul,Patel,49,Husband,Married,Male,Statistician,None,None
9,Renaissance Lane,Albert,Patel,17,Son,NA,Male,Student,None,NA
10,Renaissance Lane,Joanna,Russell,47,Head,Single,Female,Unemployed,None,None
10,Renaissance Lane,Teresa,Russell,25,Daughter,Single,Female,Immigration officer,None,None
10,Renaissance Lane,Nicholas,Russell,23,Son,Single,Male,Academic librarian,None,None
11,Renaissance Lane,Jacob,Moore,32,Head,Divorced,Male,"Production designer, theatre/television/film",None,None
12,Renaissance Lane,Russell,Hussain,33,Head,Single,Male,Secondary school teacher,None,Sikh
13,Renaissance Lane,Geraldine,Hall,35,Head,Single,Female,Unemployed,None,Christian
13,Renaissance Lane,Kirsty,Thompson,11,Daughter,NA,Female,Student,None,NA
14,Renaissance Lane,Mark,Brooks,46,Head,Divorced,Male,Podiatrist,None,Methodist
15,Renaissance Lane,Carolyn,Jones,77,Head,Widowed,Female,"Retired Therapist, horticultural",None,Christian
15,Renaissance Lane,Bethany,Jones,43,Daughter,Single,Female,Dentist,None,Christian
16,Renaissance Lane,Ryan,Burke,71,Head,Single,Male,"Retired Engineer, production",None,Christian
17,Renaissance Lane,Martyn,Hopkins,77,Head,Single,Male,Retired Furniture designer,None,Christian
18,Renaissance Lane,Vanessa,Wood,20,Head,Single,Female,University Student,None,None
19,Renaissance Lane,Colin,Goodwin,58,Head,Single,Male,Operational investment banker,None,Methodist
19,Renaissance Lane,Marie,Cameron,57,Partner,Single,Female,Intelligence analyst,None,None
20,Renaissance Lane,Marcus,Thomas,40,Head,Single,Male,Armed forces logistics/support/administrative officer,None,None
21,Renaissance Lane,Emily,Whitehouse,37,Head,Single,Female,Waste management officer,None,Catholic
21,Renaissance Lane,Catherine,Whitehouse,6,Daughter,NA,Female,Student,None,NA
